Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
vbeam laser rabat morocco,3,3,1000,20,0.00,https://www.dabadoc.com/ma/en/laser-vasculaire/rabat,44,55.69,0.00,0,485,"[100,0]",2025-11-27,"Local pack, Video, Image",commercial,Organic
dermatologue gauthier,2,2,210,3,0.00,https://www.dabadoc.com/ma/dermatologue/casablanca/gauthier,27,34.17,0.00,0.01,114000,"[3,0,0,23,44,35,81,100,66,23,23,66]",2025-12-16,"Image pack, Sitelinks, Video, Related searches, See results about",informational,Organic
dermatologue casablanca,1,1,50,0,0.00,https://www.dabadoc.com/ma/dermatologue/casablanca,6,7.59,0.00,0,682000,"[9,4,4,9,4,9,33,52,52,14,23,100]",2025-12-21,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
vbeam laser rabat morocco,19,19,1000,20,0.00,https://www.dabadoc.com/ma/en/epilation-laser/rabat,1,1.26,0.00,0,485,"[100,0]",2025-11-27,"Local pack, Video, Image",commercial,Organic
مراكز علاج الإدمان في المغرب,1,1,90,6,0.00,https://www.dabadoc.com/ma/ar/addictologue/casablanca,1,1.26,0.00,0,10,"[50,35,64,100,64]",2025-11-16,"Local pack, Image pack, Video, Video Carousel, People also ask, Related searches",commercial,People also ask
doctoliub,86,86,480,74,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,11600000,"[0,0,0,0,0,20,0,100,0,0,0,0]",2025-11-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
doclib,87,87,1000,75,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,10900000,"[16,24,20,30,34,8,100,44,24,34,65,24]",2025-12-08,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
doctloib,95,95,50,72,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,11000000,"[0,100,0,0,0,0,0,0,0,0,0,0]",2025-12-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
dr samir wahib,93,93,140,12,0.00,https://www.dabadoc.com/ma/ophtalmologue/fes/abdelkafi-lachachi-mohamed,0,0,0.00,0,10,"[8,8,10,8,8,8,8,8,8,8,10,13]",2025-11-13,"Knowledge panel, Image pack, Image",informational,Organic
chirurgien viscéral,98,98,170,15,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,1130000,"[1,1,1,0,0,0,0,100,0,0,0,0]",2025-09-08,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Things to know",,Organic
doctor casablanca,42,42,50,15,4.65,https://www.dabadoc.com/ma/en/general-practitioner/casablanca/california,0,0,0.00,0.05,42500000,"[14,14,35,50,50,35,35,50,50,50,35,0]",2025-12-02,"Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
doctor casablanca,60,60,50,15,4.65,https://www.dabadoc.com/ma/en/ear-nose-and-throat-doctor-ent/casablanca/california,0,0,0.00,0.05,42500000,"[14,14,35,50,50,35,35,50,50,50,35,0]",2025-12-02,"Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
flux acupuncture,66,66,170,25,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.04,873000,"[80,80,80,80,66,80,80,80,100,80,66,80]",2025-12-01,"Local pack, Sitelinks, Video, Related searches","commercial, navigational",Organic
لحبابي,23,23,140,12,0.00,https://www.dabadoc.com/ma/ar/gastro-enterologue/fes/mounia-lahbabi,0,0,0.00,0,17900000,"[43,43,34,53,28,53,28,34,21,28,65,43]",2025-09-10,"Knowledge panel, Video, People also ask",informational,Organic
لحبابي,75,75,140,12,0.00,https://www.dabadoc.com/ma/ar/neonatologiste/casablanca/mohamed-said-lahbabi,0,0,0.00,0,17900000,"[43,43,34,53,28,53,28,34,21,28,65,43]",2025-09-10,"Knowledge panel, Video, People also ask",informational,Organic
chirurgien,68,68,170,31,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,17400000,"[36,15,23,19,19,29,23,23,23,12,19,29]",2025-12-08,"Instant answer, Video, People also ask, Related searches",informational,Organic
doctor morocco,93,93,50,27,4.44,https://www.dabadoc.com/ma,0,0,0.00,0.03,114000000,"[1,0,0,0,100,3,3,0,1,1,0,0]",2025-12-18,"Knowledge panel, Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
dr elazizi,36,36,40,23,0.00,https://www.dabadoc.com/ma/en/diabetologist/tanger/lamiaa-elazizi,0,0,0.00,0.01,30400,"[100,18,18,18,100,18,18,18,18,18,18,18]",2025-12-11,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
dr hatimi,43,43,70,22,0.00,https://www.dabadoc.com/ma/gynecologue/rabat/rachid-hatimi,0,0,0.00,0.01,74000,"[45,63,45,63,63,63,63,63,45,63,81,81]",2025-10-26,"Knowledge panel, Image pack, Video, Related searches",informational,Organic
dr othman el alami,4,4,70,10,0.00,https://www.dabadoc.com/ma/en/dentist/marrakech/othman-el-alami,0,0,0.00,0,179000,"[45,45,63,63,45,27,45,63,63,45,63,100]",2025-12-08,"Knowledge panel, Image pack, Video, Related searches",informational,Image pack
dr othman el alami,20,20,70,10,0.00,https://www.dabadoc.com/ma/en/dentist/marrakech/othman-el-alami,0,0,0.00,0,179000,"[45,45,63,63,45,27,45,63,63,45,63,100]",2025-12-08,"Knowledge panel, Image pack, Video, Related searches",informational,Organic
clinique neuropsychologie,98,98,50,25,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,2020000,"[0,0,0,29,29,41,52,82,100,0,5,0]",2025-12-14,"Local pack, Sitelinks, Related searches",commercial,Organic
harkani,45,45,70,23,0.00,https://www.dabadoc.com/ma/en/radiologist/mohammedia/abdelghani-harkani,0,0,0.00,0,102000,"[23,23,42,23,33,23,33,42,52,33,33,42]",2025-12-18,"Image pack, Video, Image, Video Carousel, AI overview",informational,Organic
harkani,90,90,70,23,0.00,https://www.dabadoc.com/ma/radiologue/mohammedia/abdelghani-harkani,0,0,0.00,0,102000,"[23,23,42,23,33,23,33,42,52,33,33,42]",2025-12-18,"Image pack, Video, Image, Video Carousel, AI overview",informational,Organic
oncologue,49,49,320,28,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,1250000,"[0,0,3,0,1,2,2,0,3,3,0,100]",2025-10-07,"Knowledge panel, Video, People also ask, Related searches, AI overview",informational,Organic
docolib,81,81,210,73,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,10600000,"[66,1,36,29,29,23,44,1,0,23,81,9]",2025-12-17,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
doctena,36,36,170,39,0.06,https://www.dabadoc.com/ma,0,0,0.00,0.02,38,"[18,29,22,43,22,43,22,100,35,35,35,22]",2025-09-10,"Knowledge panel, Image pack, Sitelinks, Video, Related searches",navigational,Organic
docteur jawad,79,79,140,12,2.88,https://www.dabadoc.com/ma,0,0,0.00,0.04,96600,"[80,80,66,80,100,80,80,66,66,80,0,0]",2025-12-16,"Video, Video Carousel, People also ask, Related searches, AI overview","informational, transactional",Organic
اقرب مشفى من موقعي,62,62,70,13,0.00,https://www.dabadoc.com/ma/ar/dermatologue/casablanca,0,0,0.00,0.04,8560000,"[77,77,55,77,77,77,77,77,77,77,77,77]",2025-12-10,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
orl casa,11,11,50,12,0.00,https://www.dabadoc.com/ma/oto-rhino-laryngologiste-orl/casablanca/allouane-mohamed-amine,0,0,0.00,0,8800000,"[65,34,65,6,0,6,0,6,0,0,6,0]",2025-12-21,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
orl casa,29,29,50,12,0.00,https://www.dabadoc.com/ma/oto-rhino-laryngologiste-orl/casablanca/allouane-mohamed-amine,0,0,0.00,0,8800000,"[65,34,65,6,0,6,0,6,0,0,6,0]",2025-12-21,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
orl casa,31,31,50,12,0.00,https://www.dabadoc.com/ma/oto-rhino-laryngologiste-orl/casablanca/allouane-mohamed-amine,0,0,0.00,0,8800000,"[65,34,65,6,0,6,0,6,0,0,6,0]",2025-12-21,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
orl casa,82,82,50,12,0.00,https://www.dabadoc.com/ma/orl-et-laryngologie/casablanca,0,0,0.00,0,8800000,"[65,34,65,6,0,6,0,6,0,0,6,0]",2025-12-21,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
orl casa,89,89,50,12,0.00,https://www.dabadoc.com/ma/oto-rhino-laryngologiste-orl/casablanca/isaac-cohen,0,0,0.00,0,8800000,"[65,34,65,6,0,6,0,6,0,0,6,0]",2025-12-21,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
orl casa,93,93,50,12,0.00,https://www.dabadoc.com/ma/oto-rhino-laryngologiste-orl/casablanca/med-amine-hessissen,0,0,0.00,0,8800000,"[65,34,65,6,0,6,0,6,0,0,6,0]",2025-12-21,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
orl casa,96,96,50,12,0.00,https://www.dabadoc.com/ma/oto-rhino-laryngologiste-orl/casablanca/mustapha-essaadi,0,0,0.00,0,8800000,"[65,34,65,6,0,6,0,6,0,0,6,0]",2025-12-21,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
cabinet confirmations,96,96,9900,63,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,910000,"[0,0,81,100,4,0,0,0,0,0,0,0]",2025-12-28,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
dr kada,5,5,40,24,0.00,https://www.dabadoc.com/ma/oto-rhino-laryngologiste-orl/rabat/rahim-kada,0,0,0.00,0.01,56700000,"[50,35,35,14,14,78,14,14,14,14,14,14]",2025-12-08,"Knowledge panel, Image pack, Video",informational,Image pack
dr kada,29,29,40,24,0.00,https://www.dabadoc.com/ma/oto-rhino-laryngologiste-orl/rabat/rahim-kada,0,0,0.00,0.01,56700000,"[50,35,35,14,14,78,14,14,14,14,14,14]",2025-12-08,"Knowledge panel, Image pack, Video",informational,Organic
adhd medecin,39,39,140,26,4.00,https://www.dabadoc.com/ma/trouble-du-deficit-dattention,0,0,0.00,0.31,254000,"[0,0,0,0,0,0,0,100,0,0,0,0]",2025-12-12,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
urologue,79,79,390,13,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,1780000,"[46,8,11,11,11,7,8,7,7,7,100,7]",2025-12-26,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
doctorlib,76,76,720,74,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,10700000,"[16,31,46,52,25,68,52,25,16,16,52,37]",2025-12-10,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
ilham khalil,48,48,90,24,0.00,https://www.dabadoc.com/ma/en/dietitian/casablanca/ilham-jaoui-khalil-dietitian-casablanca,0,0,0.00,0,295000,"[14,14,14,78,78,78,78,78,100,100,35,14]",2025-12-04,"Image pack, Video, Image, People also ask, See results about","commercial, informational",Organic
dr draoui,28,28,40,24,2.14,https://www.dabadoc.com/ma/en/cardiologist/meknes/khalid-draoui-1,0,0,0.00,0.07,34400,"[18,18,18,18,18,18,18,100,100,18,100,18]",2025-10-29,"Local pack, Image pack, Related searches",commercial,Organic
dr draoui,37,37,40,24,2.14,https://www.dabadoc.com/ma/en/urologist/rabat/hamid-draoui,0,0,0.00,0.07,34400,"[18,18,18,18,18,18,18,100,100,18,100,18]",2025-10-29,"Local pack, Image pack, Related searches",commercial,Organic
dr draoui,68,68,40,24,2.14,https://www.dabadoc.com/ma/chirurgien-visceral/rabat/hamid-draoui,0,0,0.00,0.07,34400,"[18,18,18,18,18,18,18,100,100,18,100,18]",2025-10-29,"Local pack, Image pack, Related searches",commercial,Organic
هوري,63,63,260,26,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.01,92,"[54,44,29,36,66,36,23,36,15,19,54,29]",2025-09-08,"People also ask, Related searches, AI overview",informational,Organic
dr noun,49,49,50,4,0.00,https://www.dabadoc.com/ma/gynecologue/casablanca/mohamed-noun,0,0,0.00,0,30300000,"[23,23,23,19,23,23,23,33,33,9,9,9]",2025-09-12,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
medcin,74,74,170,18,3.82,https://www.dabadoc.com/ma,0,0,0.00,0.04,10,"[39,17,14,39,4,0,11,59,0,0,14,1]",2025-11-08,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
jamili,83,83,40,24,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,98,"[0,0,21,0,21,100,0,0,0,0,0,0]",2025-09-10,"People also ask, Related searches",informational,Organic
paradontics,14,14,70,25,0.00,https://www.dabadoc.com/ma/en/paradontie/page/3,0,0,0.00,0,1100,"[0,1,1,20,1,11,2,0,2,0,0,4]",2025-12-20,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",commercial,Organic
paradontics,18,18,70,25,0.00,https://www.dabadoc.com/ma/en/paradontie/fes,0,0,0.00,0,1100,"[0,1,1,20,1,11,2,0,2,0,0,4]",2025-12-20,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",commercial,Organic
paradontics,19,19,70,25,0.00,https://www.dabadoc.com/ma/en/paradontie/marrakech,0,0,0.00,0,1100,"[0,1,1,20,1,11,2,0,2,0,0,4]",2025-12-20,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",commercial,Organic
paradontics,22,22,70,25,0.00,https://www.dabadoc.com/ma/en/paradontie/mohammedia,0,0,0.00,0,1100,"[0,1,1,20,1,11,2,0,2,0,0,4]",2025-12-20,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",commercial,Organic
paradontics,24,24,70,25,0.00,https://www.dabadoc.com/ma/en/paradontie/casablanca,0,0,0.00,0,1100,"[0,1,1,20,1,11,2,0,2,0,0,4]",2025-12-20,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",commercial,Organic
paradontics,25,25,70,25,0.00,https://www.dabadoc.com/ma/en/paradontie/agadir,0,0,0.00,0,1100,"[0,1,1,20,1,11,2,0,2,0,0,4]",2025-12-20,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",commercial,Organic
paradontics,26,26,70,25,0.00,https://www.dabadoc.com/ma/en/paradontie/sale,0,0,0.00,0,1100,"[0,1,1,20,1,11,2,0,2,0,0,4]",2025-12-20,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",commercial,Organic
dcotolib,95,95,140,73,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,11000000,"[72,0,0,0,100,0,0,0,0,0,0,0]",2025-12-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
doctolib.,97,97,90,68,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,10700000,"[10,0,0,0,0,67,0,0,0,0,0,0]",2025-12-17,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
battas,37,37,140,26,8.71,https://www.dabadoc.com/ma/gastro-enterologue/rabat/yamina-belqasmi-battas-gastro-enterologue-rabat,0,0,0.00,0.04,79400,"[0,0,0,0,0,0,0,0,0,100,0,0]",2025-11-10,"Image pack, Video, Image, Video Carousel, People also ask",informational,Organic
gnathologist,53,53,70,0,3.36,https://www.dabadoc.com/ma/en/gnathologist,0,0,0.00,0.06,9,"[15,11,19,19,19,19,53,19,15,11,42,53]",2025-11-11,"Image pack, Video, Image, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
gnathologist,78,78,70,0,3.36,https://www.dabadoc.com/ma/en/gnathologist/temara,0,0,0.00,0.06,9,"[15,11,19,19,19,19,53,19,15,11,42,53]",2025-11-11,"Image pack, Video, Image, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
gnathologist,82,82,70,0,3.36,https://www.dabadoc.com/ma/en/gnathologist/settat,0,0,0.00,0.06,9,"[15,11,19,19,19,19,53,19,15,11,42,53]",2025-11-11,"Image pack, Video, Image, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
gnathologist,83,83,70,0,3.36,https://www.dabadoc.com/ma/en/gnathologist/oujda,0,0,0.00,0.06,9,"[15,11,19,19,19,19,53,19,15,11,42,53]",2025-11-11,"Image pack, Video, Image, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
obstetricien definition francais,83,83,40,15,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,802000,"[23,11,11,100,11,52,52,11,11,0,11,11]",2025-10-19,"Video, People also ask, Related searches, AI overview",informational,Organic
el bakkal,48,48,50,17,0.00,https://www.dabadoc.com/ma/en/thoracic-surgeon/fes/abderrahime-el-bakkal,0,0,0.00,0,10,"[2,1,2,2,1,1,1,2,3,2,3,2]",2025-11-13,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",Organic
docmed,78,78,90,25,4.91,https://www.dabadoc.com/ma,0,0,0.00,0.19,216000,"[9,9,9,7,9,9,11,9,7,9,7,9]",2025-12-30,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
amina baha,31,31,50,18,0.00,https://www.dabadoc.com/ma/en/general-practitioner/temara/amina-baha,0,0,0.00,0,10,"[64,100,64,0,11,11,11,11,11,11,11,11]",2025-11-12,"Image pack, Video, Image",informational,Organic
amina baha,53,53,50,18,0.00,https://www.dabadoc.com/ma/medecin-generaliste/temara/amina-baha,0,0,0.00,0,10,"[64,100,64,0,11,11,11,11,11,11,11,11]",2025-11-12,"Image pack, Video, Image",informational,Organic
docteur draoui,22,22,50,8,2.76,https://www.dabadoc.com/ma/traumatologue-orthopediste/rabat/mohamed-draoui,0,0,0.00,0.08,43600,"[23,4,9,19,100,9,52,14,0,52,0,0]",2025-12-07,"Video, Related searches","commercial, informational",Organic
docteur draoui,34,34,50,8,2.76,https://www.dabadoc.com/ma/traumatologue-orthopediste/rabat/mohamed-draoui,0,0,0.00,0.08,43600,"[23,4,9,19,100,9,52,14,0,52,0,0]",2025-12-07,"Video, Related searches","commercial, informational",Organic
docteur draoui,45,45,50,8,2.76,https://www.dabadoc.com/ma/chirurgien-visceral/rabat/hamid-draoui,0,0,0.00,0.08,43600,"[23,4,9,19,100,9,52,14,0,52,0,0]",2025-12-07,"Video, Related searches","commercial, informational",Organic
docteur draoui,62,62,50,8,2.76,https://www.dabadoc.com/ma/chirurgien-visceral/rabat/hamid-draoui,0,0,0.00,0.08,43600,"[23,4,9,19,100,9,52,14,0,52,0,0]",2025-12-07,"Video, Related searches","commercial, informational",Organic
docteur draoui,73,73,50,8,2.76,https://www.dabadoc.com/ma/en/cardiologist/meknes/khalid-draoui-1,0,0,0.00,0.08,43600,"[23,4,9,19,100,9,52,14,0,52,0,0]",2025-12-07,"Video, Related searches","commercial, informational",Organic
dermatologue casablanca,18,18,50,0,0.00,https://www.dabadoc.com/ma/dermatologue/casablanca/samira-el-haimeur,0,0,0.00,0,682000,"[9,4,4,9,4,9,33,52,52,14,23,100]",2025-12-21,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
dermatologue casablanca,24,24,50,0,0.00,https://www.dabadoc.com/ma/dermatologue/casablanca/rachid-jarmouni-idrissi,0,0,0.00,0,682000,"[9,4,4,9,4,9,33,52,52,14,23,100]",2025-12-21,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
